oragnism,Frequency
ESCHERICHIA COLI,297213
(ESBL POSITIVE) ESCHERICHIA COLI,251588
STAPHYLOCOCCUS AUREUS,174936
KLEBSIELLA PNEUMONIAE,155739
PSEUDOMONAS AERUGINOSA,135328
METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS,93210
STREPTOCOCCI  BETA HEMOLYTIC GROUP B,82267
(ESBL POSITIVE) KLEBSIELLA PNEUMONIAE,81736
ENTEROCOCCUS FAECALIS,66088
(CARBAPENEMS RESISTANT) PSEUDOMONAS AERUGINOSA,51297
STAPHYLOCOCCUS EPIDERMIDIS,49234
PROTEUS MIRABILIS,39532
(CARBAPENAMASE PRODUCER) KLEBSIELLA PNEUMONIAE,34611
SERRATIA MARCESCENS,23108
ENTEROCOCCUS FAECIUM,19395
CITROBACTER KOSERI,18845
STAPHYLOCOCCUS CAPITIS,15595
CARBAPENEM RESISTANT K.PNEUMONIAE,12391
Enterobacter cloacae complex,12360
MYCOBACTERIUM TUBERCULOSIS COMPLEX,11060
STAPHYLOCOCCUS HOMINIS SSP HOMINIS,9856
(CARBAPENAMASE PRODUCER) ESCHERICHIA COLI,9845
STAPHYLOCOCCUS SAPROPHYTICUS,9697
STREPTOCOCCUS PNEUMONIAE,9359
ACINETOBACTER BAUMANNII COMPLEX,8630
STAPHYLOCOCCUS HAEMOLYTICUS,8596
Ampc producer Enterobacter cloacae,8044
STREPTOCOCCUS PYOGENES,7672
HAEMOPHILUS INFLUENZAE,7542
ACINETOBACTER BAUMANNII,7530
(AMPC PRODUCER) ESCHERICHIA COLI,7340
Enterobacter aerogenes,6771
ENTEROBACTER CLOACAE,6078
CHROMOSOMAL AMP C POSITIVE,5575
Ampc producer Klebsiella aerogenes,5553
MORGANELLA MORGANII SSP MORGANII,5372
STENOTROPHOMONAS MALTOPHILIA (PREVIOUSLY PSEUDOMONAS MALTOPHILIA ),5121
KLEBSIELLA OXYTOCA,5079
Klebsiella aerogenes,4901
SALMONELLA GROUP D,4513
SALMONELLA SPECIES,4472
CANDIDA ALBICANS,4397
STAPHYLOCOCCUS LUGDUNENSIS,4199
STAPHYLOCOCCUS HOMINIS,4195
(ESBL POSITIVE) PROTEUS,3866
CITROBACTER FREUNDII,3769
NEISSERIA GONORRHOEAE,3625
(AMPC PRODUCER) KLEBSIELLA PNEUMONIAE,3622
Salmonella enterica ser. Typhi,3395
MORGANELLA MORGANII,3390
PROVIDENCIA STUARTII,3370
(CARBAPENAMASE PRODUCER) ACINETOBACTER,3316
CANDIDA TROPICALIS,3044
SALMONELLA GROUP B,2778
CANDIDA PARAPSILOSIS,2244
(AMPC PRODUCER) ENTEROBACTER,2227
VANCOMYCIN RESISTANT ENTEROCOCCUS,2148
CANDIDA GLABRATA,2133
BACTEROIDES FRAGILIS,2080
(AMPC PRODUCER) SERRATIA,2051
BURKHOLDERIA CEPACIA,2030
ENTEROCOCCUS AVIUM GROUP D,2013
PSEUDOMONAS PUTIDA,1890
STAPHYLOCOCCUS WARNERI,1875
STREPTOCOCCUS ANGINOSUS,1868
CARBAPENEM RESISTANT E.COLI,1713
PREVOTELLA BIVIA,1575
ENTEROCOCCUS GALLINARUM,1532
ENTEROBACTER CLOACAE/ ABSURIAE,1484
ENTEROBACTER CLOACAE SSP DISSOLVENS,1468
FINEGOLDIA MAGNA,1465
SALMONELLA GROUP,1413
(AMPC PRODUCER) MORGANELLA MORGANII,1342
MORAXELLA CATARRHALIS,1229
PROTEUS VULGARIS,1144
PROVIDENCIA RETTGERI,1096
Streptococcus mitis/Streptococcus oralis,1078
PENICILLIN RESISTANT NEISSERIA GONORRHOEAE,1069
(ESBL POSITIVE) KLEBSIELLA OXYTOCA,1061
PROTEUS PENNERI,1047
KLEBSIELLA OZAENAE,1010
(ESBL POSITIVE) MORGANELLA MORGANII,976
STREPTOCOCCUS CONSTELLATUS,918
ALCALIGENES XYLOSOXIDANS SS. DENITRIFICANS,892
ALCALIGENES XYLOSOXIDANS SS. XYLOSOXIDANS,892
PEPTOSTREPTOCOCCUS ANAEROBIUS,883
(ESBL POSITIVE) ENTEROBACTER CLOACAE,880
(AMPC PRODUCER) CITROBACTER,873
Corynebacterium striatum,864
STREPTOCOCCI  BETA HEMOLYTIC GROUP G,858
SALMONELLA GROUP C,849
CARBAPENEM RESISTANT ACINETOBACTER,808
ACINETOBACTER SPECIES,804
HAEMOPHILUS PARAINFLUENZAE,786
ACHROMOBACTER XYLOSOXIDANS,777
PSEUDOMONAS STUTZERI,775
STREPTOCOCCUS EQUISIMILIS,753
CITROBACTER SEDLAKII,731
VIBRIO CHOLERAE,692
ACINETOBACTER LWOFFII,691
SHIGELLA FLEXNERI,677
SPHINGOMONAS PAUCIMOBILIS,647
STREPTOCOCCI  BETA HEMOLYTIC GROUP C,647
ANAEROBIC GRAM POSITIVE COCCI,622
STREPTOCOCCUS DYSGALACTIAE SSP DYSGALACTIAE,608
STREPTOCOCCUS MITIS,512
PROTEUS SPECIES,503
Proteus hauseri,502
MICROCOCCUS LUTEUS,481
MULTI DRUG RESISTANT,461
ACINETOBACTER JUNII,460
STREPTOCOCCUS SANGUIS,439
COAGULASE NEGATIVE STAPHYLOCOCCUS,421
ENTEROCOCCUS CASSELIFLAVUS,419
BACTEROIDES THETAIOTAOMICRON,414
Salmonella enterica ser. Paratyphi A,413
PSEUDOMONAS SPECIES,407
CITROBACTER AMALONATICUS,398
ENTEROCOCCUS RAFFINOSUS,398
CANDIDA KRUSEI,396
SHIGELLA SONNEI,395
PEPTOSTREPTOCOCCUS ASACCHAROLYTICUS,392
(CARBAPENAMASE PRODUCER) ENTEROBACTER,382
STAPHYLOCOCCUS AURICULARIS,376
STREPTOCOCCUS INTERMEDIUS,369
(ESBL POSITIVE) ENTEROBACTER,351
ALPHA STREPTOCOCCUS SPECIES,347
Cutibacterium acnes,344
CORYNEBACTERIUM SPECIES,341
PSEUDOMONAS FLUORESCENS,336
CAMPYLOBACTER JEJUNI,318
Elizabethkingea meningoseptica,313
ENTEROBACTER HORMAECHEI,310
FLAVOBACTERIUM INDOLOGENES,310
Streptococcus salivarius,310
STAPHYLOCOCCUS CAPRAE,307
ANAEROBIC GRAM NEGATIVE RODS,305
SALMONELLA ENTERICA SPP. DIARIZONAE,304
VIBRIO CHOLERAE TYPE INABA,304
COMAMONAS TESTOSTERONI,295
SALMONELLA ENTERICA SSP ENTERICA,285
Raoultella planticola,271
ENTEROCOCCUS SPP,256
CITROBACTER YOUNGAE,252
ENTEROBACTER SPECIES,249
STREPTOCOCCI  BETA HEMOLYTIC GROUP A,245
(ESBL POSITIVE) SALMONELLA SPECIES,241
STREPTOCOCCUS AGALACTIAE,241
AEROMONAS HYDROPHILIA/CAVIAE,233
MORGANELLA MORGANII SSP SIBONII,233
BACTEROIDES SPECIES,231
Burkholderia cenocepacia,231
(ESBL POSITIVE) CITROBACTER,228
ENTEROPATHOGENIC E.COLI TYPE,221
Streptococcus parauberis,221
ALCALIGENES SPECIES,218
KLEBSIELLA SPECIES,215
Anaerococcus prevotii,211
PREVOTELLA DISIENS,204
SERRATIA RUBIDAEA,202
STREPTOCOCCUS CONSTELLATUS SSP CONSTELLATUS,201
(CARBAPENAMASE PRODUCER) SERRATIA,199
SALMONELLA ENTERITIDIS,199
STREPTOCOCCUS SPECIES,199
AEROMONAS HYDROPHILIA,192
STREPTOCOCCUS PASTEURIANUS,190
BURKHOLDERIA CEPACIA GROUP,186
SALMONELLA GROUP C1,186
KLEBSIELLA ORNITHINOLYTICA,183
BACTEROIDES VULGATUS,182
ENTEROPATHOGENIC E.COLI,180
STREPTOCOCCI  BETA HEMOLYTIC GROUP F,180
PEPTOSTREPTOCOCCUS MICROS,179
ENTEROCOCCUS AVIUM,175
SERRATIA FONTICOLA,173
CHRYSEOBACTERIUM GLEUM,172
STAPHYLOCOCCUS LENTUS,172
AEROMONAS SPECIES,169
PANTOEA SPP,169
Salmonella ser.Typhi,168
(ESBL POSITIVE) SERRATIA MARCESCENS,166
STREPTOCOCCUS GORDONII,166
ANAEROBIC GRAM POSITIVE RODS,165
ENTEROBACTER GERGOVIAE,163
AEROMONAS SOBRIA,154
CAMPYLOBACTER COLI,149
CANDIDA DUBLINIENSIS,147
(ESBL POSITIVE) CITROBACTER FREUNDII,143
(ESBL POSITIVE) SHIGELLA,141
CITROBACTER BRAAKII,141
ENTEROCOCCUS HIRAE,141
CLOSTRIDIUM PERFRINGENS,139
STAPHYLOCOCCUS SIMULANS,139
CITROBACTER SPECIES,137
CARBAPENEM RESISTANT ENTEROBACTER,136
PREVOTELLA MELANINOGENICA,136
BACTEROIDES OVATUS,133
EIKENELLA CORRODENS,133
PENICILLIN RESISTANT STREPT PNEUMONIAE,133
CANDIDA AURIS,127
ENTEROBACTER ASBURIAE,126
GEMELLA MORBILLORUM,126
SERRATIA LIQUEFACIENS,123
PREVOTELLA INTERMEDIA,117
Staphylococcus pettenkoferi,116
CARBAPENEM RESISTANT PROTEUS,115
STREPTOCOCCUS GROUP C,114
Campylobacter jejuni,113
MYCOBACTERIUM ABCESSUS,111
SERRATIA LIQUEFACIENS GROUP,107
LECLERCIA ADECARBOXYLATA,106
Brevibacterium casei,105
CANDIDA LUSITANIAE,104
HAEMOPHILUS PARAHAEMOLYTICUS,104
ACHROMOBACTER SPECIES,101
E.COLI TYPE 026K60,101
MICROCOCCUS LUTEUS/LYLAE,99
CAMPYLOBACTER SPECIES,98
SPINGOMONAS PAUCIMOBILIS,98
SALMONELLA GROUP E,96
ENTEROCOCCUS DURANS,95
PREVOTELLA SPECIES,94
STREPTOCOCCUS GALLOLYTICUS SSP GALLOLYTICUS,93
BACILLUS SPECIES,92
ACINETOBACTER URSIG II,91
E.COLI TYPE 0125K70,90
NEISSERIA MENINGITIDIS,90
CANDIDA KEFYR,89
BACILLUS CEREUS,87
KOCURIA KRISTINAE,86
Pasteurella multocida ssp multocida,86
E.COLI TYPE 0127K63,85
PREVOTELLA ORALIS,85
Bacillus cereus group,84
CITROBACTER FARMERI,84
STAPHYLOCOCCUS PSEUDINTERMEDIUS,84
BURKHOLDERIA PSEUDOMALLEI,81
CANDIDA SPECIES,81
CHRYSEOBACTERIUM MENINGOSEPTICUM,80
STAPHYLOCOCCUS COHNII,80
PANTOEA AGGLOMERANS,77
SALMONELLA GROUP C2,77
(AMPC PRODUCER) PROTEUS,76
CHRYSEOBACTERIUM INDOLOGENES,76
RHIZOBIUM RADIOBACTER,76
ACINETOBACTER GENOSPECIES 3,74
ALCALIGENES FAECALIS,74
Anaerococcus vaginalis,74
AFB GROWN,73
SALMONELLA GROUP G,73
STAPHYLOCOCCUS COHNII SSP UREALYTICUM,73
STREPTOCOCCUS CONSTELLATUS SSP PHARYNGIS,73
BREVUNDIMONAS DIMINUTA/VESICULARIS,72
ENTEROBACTER SAKAZAKII,72
SALMONELLA TYPHIMURIUM,72
SHEWANELLA ALGAE,72
CLOSTRIDIUM CLOSTRIDIIFORME,70
CRONOBACTER SAKAZAKII,69
NON LACTOSE FERMENTING GRAM NEGATIVE RODS,69
ACINETOBACTER HAEMOLYTICUS,67
GROUP G STREPTOCOCCUS,66
ENTEROBACTER AGGLOMERANS,65
STREPTOCOCCUS THORALTENSIS,65
Aeromonas punctata (caviae),64
STREPTOCOCCUS ALACTOLYTICUS,64
ARCANOBACTERIUM HAEMOLYTICUM,63
SALMONELLA CLOLERAE-SUIS,63
SHIGELLA BOYDII,63
GROUP D STREPTOCOCCUS,62
CARBAPENEM RESISTANT MORGANELLA MORGANII,61
Corynebacterium amycolatum,61
HAEMOPHILUS SPECIES,61
Enterobacter cloacae,60
Fusobacterium species,60
Prevotella timonensis,60
CHRYSEOMONAS LUTEOLA,59
SHIGELLA DYSENTERIAE,59
STREPTOCOCCUS MUTANS,59
SALMONELLA PARATYPHI B,58
STAPHYLOCOCCUS COHNII SSP COHNII,58
MORAXELLA SPECIES,57
Acinetobacter pittii,56
(ESBL POSITIVE) ACINETOBACTER BAUMANNII,55
GRANULICATELLA ADIACENS,55
BIFIDOBACTERIUM SPECIES,54
Klebsiella pneumoniae ssp pneumoniae,54
SERRATIA ODORIFERA,54
Peptoniphilus asaccharolyticus,53
ALLOIOCOCCUS OTITIS,52
BRUCELLA MELITENSIS,52
ACHROMOBACTER DENITRIFICANS,51
Cutibacterium granulosum,51
PSEUDOMONAS PSEUDOALCALIGENES,51
LEUCONOSTOC LACTIS,50
OCHROBACTRUM ANTHROPI,50
Streptococcus pseudopneumoniae,50
Actinomyces turicensis,49
NEISSERIA SICCA,49
Candida orthopsilosis,48
ROTHIA MUCILAGINOSA,48
Elizabethkingia anophelis,47
ANAEROBIC GRAM NEGATIVE COCCI,44
COLIFORM,44
ACINETOBACTER RADIO-RESISTENS,43
ACTINOMYCES NAESLUNDII,43
MIXED GROWTH OF CONTAMINATION INCLUDING GROUP B STREPT,43
STREPTOCOCCUS GALLOLYTICUS SSP PASTEURIANUS,43
STREPTOCOCCUS SALIVARIUS - (VIRIDANS STREP),43
Corynebacterium jeikeium,42
Klebsiella pneumoniae ssp ozaenae,42
MIXED GROWTH INCLUDING CANDIDA SPECIES,42
Staphylococcus pasteuri,42
Stenotrophomonas maltophilia,42
HAFNIA ALVEI,41
Microbacterium paraoxydans,41
Aeromonas hydrophila,40
EWINGELLA AMERICANA,40
Salmonella enterica ser. Paratyphi B,40
CORYNEBACTERIUM STRIATUM,39
KLUYVERA CRYOCRESCENS,39
E.COLI TYPE 0111K58,38
ESCHERICHIA FERGUSONII,38
KOCURIA ROSEA,38
ROSEOMONAS GILARDII,38
ACTINOMYCES ODONTOLYTICUS,37
Lactobacillus casei/paracasei/rhamnosus,37
STAPHYLOCOCCUS HOMINIS SSP NOVOBIOSEPTICUS,37
STREPTOCOCCUS ANGINOSUS/S.DYSGALACTIAE,37
Streptococcus group A,37
NOCARDIA SPECIES,36
Pandoraea apista,36
BACTEROIDES DISTASONIS,35
Eggerthella lenta,35
MORAXELLA LACUNATA,35
VIBRIO FLUVIALIS,35
ACINETOBACTER JOHNSONII,34
CLOSTRIDIUM TERTIUM,34
Enterobacter cloacae ssp cloacae,34
FLAVOBACTERIUM ODORATUM,34
GEMELLA HAEMOLYSANS,34
LEUCONOSTOC PSEUDOMESENTEROIDES,34
STAPHYLOCOCCUS INTERMEDIUS,34
STAPHYLOCOCCUS XYLOSUS,34
BACTEROIDES UNIFORMIS,33
Corynebacterium aurimucosum,33
PSEUDOMONAS MENDOCINA,33
RALSTONIA(BURKHOLDERIA)PICKETTII/'THOMASII',32
MICROCOCCUS SPECIES,31
Streptococcus dysgalactiae ssp equisimilis,31
Candida metapsilosis,30
CLOSTRIDIUM BIFERMENTANS,30
Geotrichum capitatum,30
Neisseria flava/perflava/subflava,30
PSEUDOMONAS DIMINUTA,30
STREPTOCOCCI  BETA HEMOLYTIC,30
VIBRIO ALGINOLYTICUS,30
STREPTOCOCCUS EQUINUS,29
Alicyclobacillus acidoterrestris/acidocaldarius,28
CHROMOBACTERIUM VIOLACEUM,28
NEISSERIA MUCOSA,28
CLOSTRIDIUM GROUP,27
PEPTOCOCCUS ANAEROBIUS,27
VEILLONELLA SPECIES,27
BURKHOLDERIA GLADIOLI,26
CRYPTOCOCCUS NEOFORMANS,26
GROUP D  STREPTOCOCCUS,26
Pandoraea species,26
Bacillus altitudinis/pumilus,25
Capnocytophaga sputigena,25
LACTOCOCCUS GARVIEAE,25
Streptococcus sanguinis,25
AEROCOCCUS VIRIDANS,24
BACILLUS CIRCULANS,24
E.COLI TYPE 0114K90,24
E.COLI TYPE 055K59,24
EGGERTHELLA LENTA,24
HELCOCOCCUS KUNZII,24
LACTOCOCCUS LACTIS SSP LACTIS,24
MIXED GROWTH INCLUDING,24
Peptoniphilus harei,24
STREPTOCOCCUS PLURANIMALIUM,24
VEILLONELLA PARVULA,24
ACTINOMYCES MEYERI,23
Burkholderia lata,23
CAMPLOBACTER COLI,23
CORYNEBACTERIUM XEROSIS,23
LISTERIA MONOCYTOGENES,23
MORAXELLA SPECIES (PROBABLY NONLIQUEFACIENS),23
STAPHYLOCOCCUS SACCHAROLYTICUS,23
Streptococcus group B,23
BUDVICIA AQUATICA,22
Dermabacter hominis,22
ENTEROBACTER AMNIGENUS,22
ENTEROCOCCUS FAECIUM-(GROUP D),22
LEUCONOSTOC CITREUM,22
Prevotella nigrescens,22
Ralstonia pickettii,22
Aeromonas salmonicida ssp salmonicida,21
CAMPYLOBACTER JEJUNI SSP JEJUNI,21
CLOSTRIDIUM CADAVERIS,21
LACTOSE FERMENTING GRAM NEGATIVE RODS,21
SERRATIA SPECIES,21
Alicyclobacillu sacidoterrestris,20
Bacteroides pyogenes,20
BURKHOLDERIA VIETNAMIENSIS,20
Lysinibacillus fusiformis,20
Prevotella buccalis,20
Prevotella denticola,20
Propionibacterium avidum,20
KLUYVERA ASCORBATA,19
MORAXELLA (NEISSERIA) OVIS,19
PREVOTELLA ORIS,19
STREPTOCOCCUS ANGINOSUS/ S. EQUISIMILIS,19
Bacillus clausii,18
CORYNEBACTERIUM PSEUDODIPHTHERITICUM,18
EDWARDSIELLA TARDA,18
ESCHERICHIA HERMANNII,18
FLAVOMONAS ORYZIHABITANS,18
Haemophilus haemoglobinophilus,18
KLUYVERA SPECIES,18
LACTOBACILLUS CASEI,18
LEUCONOSTOC MESENTEROIDES SSP CREMORIS,18
NEISSERIA SPECIES,18
Paenibacillus provencensis,18
PREVOTELLA BUCCAE,18
WEISSELLA CONFUSA,18
ACTINOBACULUM SCHAALII,17
CANDIDA GUILLIERMONDII,17
CLOSTRIDIUM RAMOSUM,17
PEDIOCOCCUS PENTOSACEUS,17
Veillonella Species,17
Anaerococcus tetradius,16
CEDECEA LAPAGEI,16
Dolosigranulum pigrum,16
Exiguobacterium aurantiacum,16
Kocuria rhizophila,16
Lactobacillus acidophilus/gasseri,16
Neisseria flava,16
PREVOTELLA DENTICOLA,16
PROVIDENCIA ALCALIFACIENS,16
Actinomyces neuii,15
CORYNEBACTERIUM GROUP JK,15
FLAVOBACTERIUM SPECIES,15
Rodentibacter pneumotropicus,15
STREPTOCOCCUS NON GROUPABLE,15
Atopobium vaginae,14
BACTEROIDES STERCORIS,14
FUSOBACTERIUM MORTIFERUM,14
HAEMOPHILUS PARAPHROPHILUS,14
LACTOBACILLUS SPECIES,14
NEISSERIA SUBFLAVA,14
STREPTOCOCCUS CRISTATUS,14
STREPTOCOCCUS EQUISIMILIS/ GROUP G STREP,14
BACILLUS MEGATERIUM,13
OLIGELLA UREOLYTICA,13
PARVIMONAS MICRA,13
STREPTOCOCCUS INFANTARIUS,13
VIBRIO SPECIES,13
ANAEROBIC STREPTOCOCCUS SPECIES,12
Bacteroides ovatus/xylanisolvens,12
CANDIDA UTILIS,12
CHRYSEOMONAS LUTEOLA/ FLAVIMONS ORYZIHABITANS,12
CLOSTRIDIUM SPOROGENES,12
COMAMONAS ACIDOVORANS,12
Fusobacterium necrogenes,12
Ralstonia insidiosa,12
Salmonella enterica ser. Paratyphi C,12
STAPHYLOCOCCUS VITULINUS,12
Turicella otitidis,12
ACINETOBACTER NOSOCOMIALIS,11
Brevibacillus choshinensis,11
LEUCONOSTOC MESENTEROIDES SSP MESENTEROIDES,11
RALSTONIA MANNITOLILYTICA,11
STREPTOCOCCUS ORALIS,11
VAGOCOCCUS FLUVIALIS,11
Acinetobacter gyllenbergii,10
CLOSTRIDIUM PARAPUTRIFICUM,10
GLOBICATELLA SANGUINIS,10
MORAXELLA SPP(URETHRALIS),10
NEISSERIA MENINGITIDIS SEROGROUP C,10
NEISSERIA MENINGITIDIS SEROGROUP W135,10
Parabacteroides distasonis,10
STREPTOCOCCI  NON HAEMOLYTIC,10
STREPTOCOCCUS INFANTARIUS SSP COLI,10
STREPTOCOCCUS THERMOPHILUS,10
Veillonella spp,10
Virgibacillus proomii,10
BORDETELLA  BRONCHISEPTICA,9
Brucella spp,9
CLOSTRIDIUM SEPTICUM,9
LEUCONOSTOC MESENTEROIDES SSP DEXTRANICUM,9
NEISSERIA WEAVERI,9
Peptoniphilus indolicus,9
PEPTOSTREPTOCOCCUS MAGNUS,9
STREPTOCOCCUS MITIS/ORALIS/(STREPTOCOCCUS PNEUMONIAE),9
STREPTOCOCCUS PRESUMPTIVE GROUP A,9
BACTEROIDES CACCAE,8
Brevundimonas diminuta,8
DERMACOCCUS NISHINOMIYAENSIS/KYTOCOCCUS SEDENTARIUS,8
GARDNERELLA VAGINALIS,8
GEMELLA SPP,8
HAEMOPHILUS APHROPHILUS,8
Kytococcus schroeteri,8
LACTOBACILLUS FERMENTUM,8
PANTOEA DISPERSA,8
Pasteurella canis,8
Prevotella veroralis,8
Roseomonas mucosa,8
Saprochaete capitata,8
STREPTOCOCCUS,8
Bacillus smithii,7
Clostridioides difficile,7
Corynebacterium propinquum,7
CUPRIAVIDUS PAUCULUS,7
DIPHTHEROIDS,7
GEMELLA SANGUINIS,7
GRAM POSITIVE COCCI IN CHAINS,7
Haemophilus segnis,7
MORAXELLA OSLOENSIS,7
Parabacteroides merdae,7
Pasteruella dagmatis,7
PLESIOMONAS SHIGELLOIDES,7
PORPHYROMONAS ASACCHAROLYTICA,7
SALMONELLA TYPHI-MURIUM,7
SHIGELLA SPECIES,7
STREPTOCOCCUS EQUI/ GROUP G STREP,7
STREPTOCOCCUS GROUP D-NOT ENTEROCOCCUS,7
STREPTOCOCCUS SUIS I,7
STREPTOCOCCUS VESTIBULARIS,7
Acidovorax temperans,6
Actinomyces europaeus,6
AEROMONAS VERONII BIOVAR VERONII,6
Brevibacterium luteolum,6
CANDIDA FAMATA,6
CANDIDA PARATROPICALIS,6
CAPNOCYTOPHAGA SPECIES,6
CLOSTRIDIUM HISTOLYTICUM,6
Corynebacterium simulans,6
ENTEROCOCCUS COLUMBAE,6
Eubacterium callanderi,6
FUSOBACTERIUM VARIUM,6
HAEMOPHILUS AEGYPTIUS,6
HAEMOPHILUS INFLUENZAE I,6
KYTOCOCCUS SEDENTARIUS,6
LACTOCOCCUS RAFFINOLACTIS,6
MICROCOCCUS LYLAE,6
MORAXELLA GROUP,6
NEISSERIA ANIMALORIS,6
Ochrobactrum intermedium,6
Paenibacillus durus,6
Pseudopropionibacterium propionicum,6
STREPTOCOCCUS PRESUMPTIVE GROUP B,6
Trichosporon asteroides,6
Actinomyces radingae,5
Bacillus altitudinis,5
Bacillus simplex,5
Bacillus subtilis/amyloliquefaciens/atrophaeus,5
CAMPYLOBACTER FETUS,5
Corynebacterium freneyi,5
EPIDEMIOLOGY AFB NEW,5
KOCURIA VARIANS,5
METHYLOBACTERIUM SPECIES,5
NEISSERIA CINEREA,5
SALMONELLA GROUP E1,5
Slackia exigua,5
STREPTOCOCCI  ALPHA HEMOLYTIC,5
ACTINOBACILLUS ACTINOMYCETEMCOMITANS,4
ACTINOMYCES SPECIES,4
Alistipes finegoldii,4
Bacillus idriensis,4
Bacteroides dorei,4
BURKHOLDERIA MULTIVORANS,4
CLOSTRIDIUM GLYCOLICUM,4
CLOSTRIDIUM INNOCUUM,4
CLOSTRIDIUM LIMOSUM,4
CLOSTRIDIUM SORDELLII,4
Corynebacterium durum,4
Corynebacterium tuberculostearicum,4
Fusobacterium necrophorum ssp necrophorum,4
LACTOBACILLUS JENSENII,4
Lactobacillus rhamnosus,4
Rothia aeria,4
STREPTOCOCCUS SANGUINIS (STREPTOCOCCUS SANGUIS)/GORDONII,4
ACTINOMYCES VISCOSUS,3
BACILLUS FIRMUS,3
CLOSTRIDIUM BUTYRICUM,3
CLOSTRIDIUM SUBTERMINALE,3
Dialister micraerophilus,3
E.COLI TYPE 018CK77,3
Lactobacillus gasseri,3
NEISSERIA MENINGITIDIS SEROGROUP B,3
Porphyromonas gingivalis,3
Pseudoflavonifractor capillosus,3
TRICHOSPORON ASAHII,3
BACTEROIDES EGGERTHII,2
BRUCELLA SPECIES,2
Eggerthia catenaformis,2
GRAM POSITIVE COCCI IN CLUSTERS,2
STREPTOCOCCUS BOVIS,2
Streptococcus suis,2
Veillonella dispar,2
Dialister pneumosintes,1
Peptoniphilus lacrimalis,1